variant_id,title_long,product_type,handle,color,store_name
10001,Abstract Green Jacquard Woven Design Saree With Embroidered Blouse,Silk saree,abstract-green-jacquard-woven-design-saree-with-embroidered-blouse,,Store_A
10002,Abstract leopard Print Satin Crepe Trendy Saree in White and Blue,,abstract-leopard-print-satin-crepe-trendy-saree-in-white-and-blue,,Store_A
10003,Abstract leopard Print Satin Crepe Trendy Saree in White and Red,,abstract-leopard-print-satin-crepe-trendy-saree-in-white-and-red,,Store_A
10004,Abstract Print Satin Crepe Trendy Saree in Baby Pink,,abstract-print-satin-crepe-trendy-saree-in-baby-pink,,Store_A
10005,Abstract Print Satin Crepe Trendy Saree in Black and White,,causal-wear-abstract-print-satin-crepe-saree-in-black-and-white,,Store_A
10006,Abstract Print Satin Crepe Trendy Saree in Blue,,abstract-print-satin-crepe-trendy-saree-in-blue,,Store_A
10007,Abstract Print Satin Crepe Trendy Saree in Green and White color,,abstract-print-satin-crepe-trendy-saree-in-green-and-white,,Store_A
10008,Abstract Print Satin Crepe Trendy Saree in Pastel Green,,abstract-print-satin-crepe-trendy-saree-in-pastel-green,,Store_A
10009,Abstract Print Satin Crepe Trendy Saree in Rani Pink,,abstract-print-satin-crepe-trendy-saree-in-rani-pink,,Store_A
10010,Abstract Print Satin Crepe Trendy Saree in White,,abstract-print-satin-crepe-trendy-saree-in-white,,Store_A
10011,Adorable Multy Color Brasso Silk saree with Work Blouse,,adorable-multy-color-brasso-silk-saree-with-work-blouse,,Store_A
10012,Adorable Pink Color Soft handloom Weaving Silk Saree with Blouse,,adorable-pink-color-soft-handloom-weaving-silk-saree-with-blouse,,Store_A
10013,Aegean Blue Handloom Weaving Silk with Gotta lace border,,aegean-blue-handloom-weaving-silk-with-gotta-lace-border,,Store_A
10014,Aegean Blue Tussar Silk Copper Zari Weaving Saree,,tessar-silk-copper-zari-weaving-saree,,Store_A
10015,Airforce Blue Kashmiri Modal Handloom Weaving Saree,,airforce-blue-kashmiri-modal-handloom-weaving-saree,,Store_A
10016,Alluring Brown And Orange Patola Silk Saree,,alluring-brown-and-pink-patola-silk-saree,,Store_A
10017,Alluring Green  And Pink Patola Silk Saree,,alluring-green-patola-silk-saree,,Store_A
10018,Alluring Green  And Pink Patola Silk Saree,,alluring-green-and-pink-patola-silk-saree,,Store_A
10019,Alluring Green And Pink Patola Silk Saree,,alluring-green-and-pink-patola-silk-saree-1,,Store_A
10020,Alluring Maroon And Green Patola Silk Saree,,alluring-maroon-and-green-patola-silk-saree,,Store_A
10021,Alluring Off-white And Red Patola Silk Saree,,alluring-off-white-and-red-patola-silk-saree,,Store_A
10022,Alluring Orange And Green Patola Silk Saree,,alluring-orange-and-green-patola-silk-saree,,Store_A
10023,Alluring Sky Blue Patola Silk Saree,,alluring-sky-blue-patola-silk-saree,,Store_A
10024,Alluring Yellow patola silk saree,,alluring-yellow-patola-silk-saree,,Store_A
10025,Almond Brown Colour 3D Chiffon Saree With Sequence Blouse,,almond-brown-colour-3d-velvet-chiffon-saree-with-sequence-blouse,,Store_A
10026,Amber Green Woven Patola Silk Saree with Classic Border,,woven-patola-silk-saree-with-classic-border,,Store_A
10027,Amber Orange & Golden Zari Woven Kanjivaram Saree With Blouse,,amber-orange-golden-zari-woven-kanjivaram-saree-with-blouse,,Store_A
10028,Amber Orange Shine Kanjivaram Wedding Saree With Blouse,,amber-orange-shine-kanjivaram-wedding-saree-with-blouse,,Store_A
10029,Anchor Gray Soft Silk Golden Zari weaving with contrast blouse,,anchor-gray-soft-silk-golden-zari-weaving-with-contrast-blouse,,Store_A
10030,Apple Red Silk Saree with Floral Woven Border and Pallu,,copy-of-abstract-green-jacquard-woven-design-saree-with-embroidered-blous,,Store_A
10031,Aqua Blue Paithani Silk Saree with Golden Zari Woven Border,,paithani-silk-saree-with-golden-zari-woven-border,,Store_A
10032,Aqua Green And Grey Cord and Sequins Embroidery Saree with Blouse,,aqua-green-and-grey-cord-and-zari-embroidery-saree-with-blouse,,Store_A
10033,Army Green & Golden Zari Banarasi Silk Saree With Blouse,,army-green-golden-zari-banarasi-silk-saree-with-blouse,,Store_A
10034,Army Green Kanjivaram Silk Saree With Zari Border Blouse,,army-green-kanjivaram-silk-saree-with-zari-border-blouse,,Store_A
10035,Art Design Morpinch Color Brasso Silk Saree and Blouse,,art-design-morpinch-color-brasso-silk-saree-and-blouse,,Store_A
10036,Asparagus Green Linen Silk Saree With Blouse,,asparagus-green-line-silk-saree-with-blouse,,Store_A
10037,Assure Blue Golden Checks Design Soft Raw Silk Saree,Saris & Lehengas,assure-blue-golden-checks-design-soft-raw-silk-saree,,Store_A
